hotspot_id,project_id,centroid_lat,centroid_lon,patch_count,mean_cnn_score,max_cnn_score,cnn_score_percentile,ndvi_change,ndvi_evidence,dynamic_world_evidence,temporal_evidence,spatial_evidence,feature10_evidence_class,priority_level,priority_score,evidence_summary,recommended_action
MH-003-HS-0045,MH-003,18.938193,73.446303,8,0.1115,0.1317,19.67,0.0103,0,0,Assessed via F10 NDVI change,8,NO_INDEPENDENT_SUPPORT,UNSUPPORTED / MONITOR,18.6,CNN max 0.13 (19.7th pct) over 8 patches. No suspicious DW transition. No NDVI decline.,No independent evidence; do not escalate without additional evidence
MH-001-HS-0013,MH-001,21.165008,78.923818,7,0.173,0.2239,75.31,0.032,0,0,Assessed via F10 NDVI change,7,NO_INDEPENDENT_SUPPORT,UNSUPPORTED / MONITOR,18.5,CNN max 0.22 (75.3th pct) over 7 patches. No suspicious DW transition. No NDVI decline.,No independent evidence; do not escalate without additional evidence
MH-003-HS-0018,MH-003,18.942191,73.451602,3,0.111,0.1183,13.27,-0.0158,10,0,Assessed via F10 NDVI change,3,WEAK_SUPPORT,LOW PRIORITY,18.4,CNN max 0.12 (13.3th pct) over 3 patches. No suspicious DW transition. Minor NDVI decline (-0.02).,Monitor / retain for future analysis
MH-001-HS-0071,MH-001,21.135068,78.924947,6,0.2547,0.314,90.27,0.0143,0,0,Assessed via F10 NDVI change,6,NO_INDEPENDENT_SUPPORT,UNSUPPORTED / MONITOR,18.3,CNN max 0.31 (90.3th pct) over 6 patches. No suspicious DW transition. No NDVI decline.,No independent evidence; do not escalate without additional evidence
MH-001-HS-0003,MH-001,21.177982,78.920469,7,0.1757,0.2157,72.19,0.0038,0,0,Assessed via F10 NDVI change,7,NO_INDEPENDENT_SUPPORT,UNSUPPORTED / MONITOR,18.3,CNN max 0.22 (72.2th pct) over 7 patches. No suspicious DW transition. No NDVI decline.,No independent evidence; do not escalate without additional evidence
MH-002-HS-0023,MH-002,19.58754,80.345633,1,0.3059,0.3059,89.33,-0.0027,10,0,Assessed via F10 NDVI change,1,WEAK_SUPPORT,LOW PRIORITY,18.1,CNN max 0.31 (89.3th pct) over 1 patches. No suspicious DW transition. Minor NDVI decline (-0.00).,Monitor / retain for future analysis
MH-001-HS-0007,MH-001,21.176211,78.92122,2,0.1741,0.181,54.27,-0.0048,10,0,Assessed via F10 NDVI change,2,WEAK_SUPPORT,LOW PRIORITY,17.6,CNN max 0.18 (54.3th pct) over 2 patches. No suspicious DW transition. Minor NDVI decline (-0.00).,Monitor / retain for future analysis
MH-001-HS-0050,MH-001,21.146297,78.938602,1,0.2362,0.2362,78.59,-0.0175,10,0,Assessed via F10 NDVI change,1,WEAK_SUPPORT,LOW PRIORITY,16.7,CNN max 0.24 (78.6th pct) over 1 patches. No suspicious DW transition. Minor NDVI decline (-0.02).,Monitor / retain for future analysis
MH-003-HS-0028,MH-003,18.940484,73.448863,2,0.1276,0.1299,18.61,-0.0136,10,0,Assessed via F10 NDVI change,2,WEAK_SUPPORT,LOW PRIORITY,16.6,CNN max 0.13 (18.6th pct) over 2 patches. No suspicious DW transition. Minor NDVI decline (-0.01).,Monitor / retain for future analysis
MH-003-HS-0047,MH-003,18.937789,73.45048,2,0.1026,0.1027,7.76,-0.0029,10,0,Assessed via F10 NDVI change,2,WEAK_SUPPORT,LOW PRIORITY,16.1,CNN max 0.10 (7.8th pct) over 2 patches. No suspicious DW transition. Minor NDVI decline (-0.00).,Monitor / retain for future analysis
MH-001-HS-0058,MH-001,21.14441,78.932673,1,0.1992,0.1992,64.66,-0.049,10,0,Assessed via F10 NDVI change,1,WEAK_SUPPORT,LOW PRIORITY,16.0,CNN max 0.20 (64.7th pct) over 1 patches. No suspicious DW transition. Minor NDVI decline (-0.05).,Monitor / retain for future analysis
MH-003-HS-0040,MH-003,18.938912,73.465077,6,0.1275,0.1637,42.12,0.0263,0,0,Assessed via F10 NDVI change,6,NO_INDEPENDENT_SUPPORT,UNSUPPORTED / MONITOR,15.3,CNN max 0.16 (42.1th pct) over 6 patches. No suspicious DW transition. No NDVI decline.,No independent evidence; do not escalate without additional evidence
MH-002-HS-0027,MH-002,19.585654,80.346172,1,0.1399,0.1399,24.4,-0.0011,10,0,Assessed via F10 NDVI change,1,WEAK_SUPPORT,LOW PRIORITY,14.8,CNN max 0.14 (24.4th pct) over 1 patches. No suspicious DW transition. Minor NDVI decline (-0.00).,Monitor / retain for future analysis
MH-001-HS-0046,MH-001,21.146297,78.922702,5,0.2042,0.2139,71.55,0.0048,0,0,Assessed via F10 NDVI change,5,NO_INDEPENDENT_SUPPORT,UNSUPPORTED / MONITOR,14.3,CNN max 0.21 (71.5th pct) over 5 patches. No suspicious DW transition. No NDVI decline.,No independent evidence; do not escalate without additional evidence
MH-003-HS-0046,MH-003,18.938328,73.455196,1,0.1172,0.1172,12.83,-0.0185,10,0,Assessed via F10 NDVI change,1,WEAK_SUPPORT,LOW PRIORITY,14.3,CNN max 0.12 (12.8th pct) over 1 patches. No suspicious DW transition. Minor NDVI decline (-0.02).,Monitor / retain for future analysis
MH-001-HS-0020,MH-001,21.163814,78.922837,4,0.2232,0.2384,79.11,0.0166,0,0,Assessed via F10 NDVI change,4,NO_INDEPENDENT_SUPPORT,UNSUPPORTED / MONITOR,12.8,CNN max 0.24 (79.1th pct) over 4 patches. No suspicious DW transition. No NDVI decline.,No independent evidence; do not escalate without additional evidence
