experiment,held_out_project,temporal_sample_id,target,cnn_score,error_type
B,MH-002,MH-002_19.601554_80.365307,0,0.0012722349492833018,TN
B,MH-002,MH-002_19.601554_80.365576,0,0.0020155657548457384,TN
B,MH-002,MH-002_19.601554_80.365846,0,0.004054803866893053,TN
B,MH-002,MH-002_19.601554_80.366115,0,0.010991244576871395,TN
B,MH-002,MH-002_19.601554_80.367462,0,0.010160858742892742,TN
B,MH-002,MH-002_19.601554_80.367732,0,0.009643852710723877,TN
B,MH-002,MH-002_19.601554_80.368001,0,0.009610005654394627,TN
B,MH-002,MH-002_19.601554_80.368271,0,0.012010179460048676,TN
B,MH-002,MH-002_19.601554_80.36854,0,0.017099352553486824,TN
B,MH-002,MH-002_19.601554_80.36881,0,0.022240115329623222,TN
B,MH-002,MH-002_19.601554_80.369079,0,0.03078732080757618,TN
B,MH-002,MH-002_19.601554_80.369349,0,0.03206584230065346,TN
B,MH-002,MH-002_19.601554_80.369618,0,0.03345708176493645,TN
B,MH-002,MH-002_19.601554_80.369888,0,0.039089545607566833,TN
B,MH-002,MH-002_19.601284_80.365307,0,0.001105859992094338,TN
B,MH-002,MH-002_19.601284_80.365576,0,0.0019953600130975246,TN
B,MH-002,MH-002_19.601284_80.365846,0,0.004090454429388046,TN
B,MH-002,MH-002_19.601284_80.366115,0,0.011254478245973587,TN
B,MH-002,MH-002_19.601284_80.368001,0,0.012993707321584225,TN
B,MH-002,MH-002_19.601284_80.368271,0,0.017372645437717438,TN
B,MH-002,MH-002_19.601284_80.36854,0,0.024823501706123352,TN
B,MH-002,MH-002_19.601284_80.36881,0,0.031160373240709305,TN
B,MH-002,MH-002_19.601284_80.369079,0,0.040113210678100586,TN
B,MH-002,MH-002_19.601284_80.369349,0,0.033459603786468506,TN
B,MH-002,MH-002_19.601284_80.369618,0,0.029460448771715164,TN
B,MH-002,MH-002_19.601284_80.369888,0,0.03475033864378929,TN
B,MH-002,MH-002_19.601015_80.363959,0,0.00019725217134691775,TN
B,MH-002,MH-002_19.601015_80.364229,0,0.0005382382078096271,TN
B,MH-002,MH-002_19.601015_80.364498,0,0.0008652493706904352,TN
B,MH-002,MH-002_19.601015_80.364768,0,0.0010994954500347376,TN
B,MH-002,MH-002_19.601015_80.365037,0,0.0017665950581431389,TN
B,MH-002,MH-002_19.601015_80.365307,0,0.0023824763484299183,TN
B,MH-002,MH-002_19.601015_80.365576,0,0.003651187289506197,TN
B,MH-002,MH-002_19.601015_80.365846,0,0.008415702730417252,TN
B,MH-002,MH-002_19.601015_80.366654,0,0.01933090202510357,TN
B,MH-002,MH-002_19.601015_80.366923,0,0.017136353999376297,TN
B,MH-002,MH-002_19.601015_80.367193,0,0.01794843189418316,TN
B,MH-002,MH-002_19.601015_80.367462,0,0.017226964235305786,TN
B,MH-002,MH-002_19.601015_80.367732,0,0.017029346898198128,TN
B,MH-002,MH-002_19.601015_80.368001,0,0.017077399417757988,TN
B,MH-002,MH-002_19.601015_80.369079,0,0.035228610038757324,TN
B,MH-002,MH-002_19.601015_80.369349,0,0.032172705978155136,TN
B,MH-002,MH-002_19.601015_80.369618,0,0.02987484261393547,TN
B,MH-002,MH-002_19.601015_80.369888,0,0.03150365129113197,TN
B,MH-002,MH-002_19.600745_80.363959,0,0.00030195919680409133,TN
B,MH-002,MH-002_19.600745_80.364229,0,0.0005701287882402539,TN
B,MH-002,MH-002_19.600745_80.365037,0,0.0031078767497092485,TN
B,MH-002,MH-002_19.600745_80.365307,0,0.004555374383926392,TN
B,MH-002,MH-002_19.600745_80.365576,0,0.008654097095131874,TN
B,MH-002,MH-002_19.600745_80.365846,0,0.01312454417347908,TN
B,MH-002,MH-002_19.600745_80.366385,0,0.011487576179206371,TN
B,MH-002,MH-002_19.600745_80.366654,0,0.01852271519601345,TN
B,MH-002,MH-002_19.600745_80.366923,0,0.017117690294981003,TN
B,MH-002,MH-002_19.600745_80.367193,0,0.016683146357536316,TN
B,MH-002,MH-002_19.600745_80.367462,0,0.014297147281467915,TN
B,MH-002,MH-002_19.600745_80.367732,0,0.01709957793354988,TN
B,MH-002,MH-002_19.600745_80.368001,0,0.016057878732681274,TN
B,MH-002,MH-002_19.600745_80.368271,0,0.01931237056851387,TN
B,MH-002,MH-002_19.600745_80.36854,0,0.021973207592964172,TN
B,MH-002,MH-002_19.600745_80.369079,0,0.041747692972421646,TN
B,MH-002,MH-002_19.600745_80.369349,0,0.03673872351646423,TN
B,MH-002,MH-002_19.600745_80.369618,0,0.02807803452014923,TN
B,MH-002,MH-002_19.600745_80.369888,0,0.029584847390651703,TN
B,MH-002,MH-002_19.600476_80.363959,1,0.00082480936544016,FN
B,MH-002,MH-002_19.600476_80.365576,0,0.01072288490831852,TN
B,MH-002,MH-002_19.600476_80.366385,1,0.017468761652708054,FN
B,MH-002,MH-002_19.600476_80.366654,1,0.02271481417119503,FN
B,MH-002,MH-002_19.600476_80.366923,1,0.02070959284901619,FN
B,MH-002,MH-002_19.600476_80.367193,1,0.020288268104195595,FN
B,MH-002,MH-002_19.600476_80.368271,1,0.020520968362689018,FN
B,MH-002,MH-002_19.600476_80.36854,0,0.02214808575809002,TN
B,MH-002,MH-002_19.600476_80.369079,0,0.047619812190532684,TN
B,MH-002,MH-002_19.600476_80.369349,0,0.039250630885362625,TN
B,MH-002,MH-002_19.600476_80.369618,0,0.037333354353904724,TN
B,MH-002,MH-002_19.600476_80.369888,0,0.027576981112360954,TN
B,MH-002,MH-002_19.600206_80.364498,0,0.0061177462339401245,TN
B,MH-002,MH-002_19.600206_80.364768,0,0.006584760267287493,TN
B,MH-002,MH-002_19.600206_80.366654,0,0.02779078483581543,TN
B,MH-002,MH-002_19.600206_80.366923,1,0.022055979818105698,FN
B,MH-002,MH-002_19.600206_80.367193,1,0.023702194914221764,FN
B,MH-002,MH-002_19.600206_80.36881,0,0.04303297773003578,TN
B,MH-002,MH-002_19.600206_80.369079,0,0.050958238542079926,TN
B,MH-002,MH-002_19.600206_80.369349,0,0.04857136309146881,TN
B,MH-002,MH-002_19.600206_80.369618,0,0.036295074969530106,TN
B,MH-002,MH-002_19.600206_80.369888,0,0.032536350190639496,TN
B,MH-002,MH-002_19.599937_80.363959,0,0.006748325657099485,TN
B,MH-002,MH-002_19.599937_80.364229,0,0.011348925530910492,TN
B,MH-002,MH-002_19.599937_80.364498,0,0.016564389690756798,TN
B,MH-002,MH-002_19.599937_80.364768,0,0.013160810805857182,TN
B,MH-002,MH-002_19.599667_80.363959,0,0.0384673997759819,TN
B,MH-002,MH-002_19.599667_80.364229,0,0.051442962139844894,TN
B,MH-002,MH-002_19.599667_80.364498,0,0.050013467669487,TN
B,MH-002,MH-002_19.599667_80.364768,0,0.02790256030857563,TN
B,MH-002,MH-002_19.599398_80.363959,0,0.18031646311283112,TN
B,MH-002,MH-002_19.599398_80.364229,0,0.15092040598392487,TN
B,MH-002,MH-002_19.599398_80.364498,0,0.11228998750448227,TN
B,MH-002,MH-002_19.609639_80.376356,0,0.030638301745057106,TN
B,MH-002,MH-002_19.609369_80.376625,0,0.041129857301712036,TN
B,MH-002,MH-002_19.6091_80.376356,0,0.023694848641753197,TN
B,MH-002,MH-002_19.6091_80.376895,0,0.05700857192277908,TN
B,MH-002,MH-002_19.60883_80.377164,0,0.04878629744052887,TN
B,MH-002,MH-002_19.608561_80.377164,0,0.04566008597612381,TN
B,MH-002,MH-002_19.608561_80.377434,0,0.05400647595524788,TN
